CurrencyPair,Datestamp,Price
AUD/USD,12-03-2020 00:00:04,0.74181000
AUD/USD,12-03-2020 00:00:05,0.74179000
AUD/USD,12-03-2020 00:00:12,0.74181000
AUD/USD,12-03-2020 00:00:20,0.74184000
AUD/USD,12-03-2020 00:00:53,0.74188000
AUD/USD,12-03-2020 00:00:54,0.74192000
AUD/USD,12-03-2020 00:00:56,0.74195000
AUD/USD,12-03-2020 00:00:56,0.74199000
AUD/USD,12-03-2020 00:01:04,0.74201000
AUD/USD,12-03-2020 00:01:04,0.74206000
AUD/USD,12-03-2020 00:01:17,0.74202000
AUD/USD,12-03-2020 00:01:17,0.74198000
AUD/USD,12-03-2020 00:01:22,0.74202000
AUD/USD,12-03-2020 00:01:34,0.74205000
AUD/USD,12-03-2020 00:01:34,0.74209000
AUD/USD,12-03-2020 00:01:34,0.74212000
AUD/USD,12-03-2020 00:01:37,0.74209000
AUD/USD,12-03-2020 00:01:43,0.74213000
AUD/USD,12-03-2020 00:01:45,0.74217000
AUD/USD,12-03-2020 00:01:46,0.74220000
AUD/USD,12-03-2020 00:01:47,0.74222000
AUD/USD,12-03-2020 00:01:59,0.74228000
AUD/USD,12-03-2020 00:02:02,0.74231000
AUD/USD,12-03-2020 00:02:03,0.74227000
AUD/USD,12-03-2020 00:02:17,0.74229000
AUD/USD,12-03-2020 00:02:17,0.74233000
AUD/USD,12-03-2020 00:02:26,0.74228000
AUD/USD,12-03-2020 00:02:40,0.74233000
AUD/USD,12-03-2020 00:02:47,0.74237000
AUD/USD,12-03-2020 00:02:48,0.74241000
AUD/USD,12-03-2020 00:02:51,0.74237000
AUD/USD,12-03-2020 00:02:52,0.74233000
AUD/USD,12-03-2020 00:03:05,0.74229000
AUD/USD,12-03-2020 00:03:06,0.74227000
AUD/USD,12-03-2020 00:03:08,0.74229000
AUD/USD,12-03-2020 00:03:23,0.74234000
AUD/USD,12-03-2020 00:03:34,0.74229000
AUD/USD,12-03-2020 00:03:43,0.74233000
AUD/USD,12-03-2020 00:03:44,0.74229000
AUD/USD,12-03-2020 00:03:52,0.74233000
AUD/USD,12-03-2020 00:03:52,0.74239000
AUD/USD,12-03-2020 00:03:52,0.74235000
AUD/USD,12-03-2020 00:04:09,0.74232000
AUD/USD,12-03-2020 00:04:28,0.74235000
AUD/USD,12-03-2020 00:04:33,0.74239000
AUD/USD,12-03-2020 00:04:33,0.74235000
AUD/USD,12-03-2020 00:04:35,0.74241000
AUD/USD,12-03-2020 00:04:36,0.74242000
AUD/USD,12-03-2020 00:04:36,0.74246000
AUD/USD,12-03-2020 00:04:36,0.74250000
AUD/USD,12-03-2020 00:04:39,0.74253000
AUD/USD,12-03-2020 00:04:43,0.74249000
AUD/USD,12-03-2020 00:04:47,0.74253000
AUD/USD,12-03-2020 00:04:51,0.74256000
AUD/USD,12-03-2020 00:04:56,0.74260000
AUD/USD,12-03-2020 00:04:57,0.74263000
AUD/USD,12-03-2020 00:04:57,0.74267000
AUD/USD,12-03-2020 00:04:57,0.74270000
AUD/USD,12-03-2020 00:04:58,0.74275000
AUD/USD,12-03-2020 00:04:59,0.74278000
AUD/USD,12-03-2020 00:05:00,0.74281000
AUD/USD,12-03-2020 00:05:01,0.74279000
AUD/USD,12-03-2020 00:05:01,0.74273000
AUD/USD,12-03-2020 00:05:02,0.74277000
AUD/USD,12-03-2020 00:05:02,0.74280000
AUD/USD,12-03-2020 00:05:09,0.74277000
AUD/USD,12-03-2020 00:05:09,0.74276000
AUD/USD,12-03-2020 00:05:14,0.74279000
AUD/USD,12-03-2020 00:05:39,0.74281000
AUD/USD,12-03-2020 00:05:39,0.74285000
AUD/USD,12-03-2020 00:05:46,0.74288000
AUD/USD,12-03-2020 00:05:47,0.74293000
AUD/USD,12-03-2020 00:05:47,0.74296000
AUD/USD,12-03-2020 00:05:48,0.74292000
AUD/USD,12-03-2020 00:05:56,0.74288000
AUD/USD,12-03-2020 00:05:56,0.74284000
AUD/USD,12-03-2020 00:05:58,0.74279000
AUD/USD,12-03-2020 00:05:59,0.74276000
AUD/USD,12-03-2020 00:06:03,0.74273000
AUD/USD,12-03-2020 00:06:05,0.74270000
AUD/USD,12-03-2020 00:06:19,0.74274000
