CurrencyPair,Datestamp,Price
GBP/USD,12-03-2020 00:00:00,1.33971000
GBP/USD,12-03-2020 00:00:00,1.33972000
GBP/USD,12-03-2020 00:00:01,1.33972000
GBP/USD,12-03-2020 00:00:02,1.33969000
GBP/USD,12-03-2020 00:00:03,1.33973000
GBP/USD,12-03-2020 00:00:03,1.33979000
GBP/USD,12-03-2020 00:00:03,1.33975000
GBP/USD,12-03-2020 00:00:03,1.33972000
GBP/USD,12-03-2020 00:00:03,1.33970000
GBP/USD,12-03-2020 00:00:07,1.33967000
GBP/USD,12-03-2020 00:00:12,1.33969000
GBP/USD,12-03-2020 00:00:21,1.33972000
GBP/USD,12-03-2020 00:00:21,1.33975000
GBP/USD,12-03-2020 00:00:21,1.33978000
GBP/USD,12-03-2020 00:00:21,1.33979000
GBP/USD,12-03-2020 00:00:31,1.33982000
GBP/USD,12-03-2020 00:00:33,1.33979000
GBP/USD,12-03-2020 00:00:33,1.33979000
GBP/USD,12-03-2020 00:00:47,1.33979000
GBP/USD,12-03-2020 00:00:53,1.33982000
GBP/USD,12-03-2020 00:00:53,1.33991000
GBP/USD,12-03-2020 00:00:53,1.33991000
GBP/USD,12-03-2020 00:00:54,1.33989000
GBP/USD,12-03-2020 00:00:54,1.33991000
GBP/USD,12-03-2020 00:00:54,1.34001000
GBP/USD,12-03-2020 00:00:55,1.34001000
GBP/USD,12-03-2020 00:00:55,1.34004000
GBP/USD,12-03-2020 00:00:55,1.34001000
GBP/USD,12-03-2020 00:00:56,1.33999000
GBP/USD,12-03-2020 00:00:59,1.34001000
GBP/USD,12-03-2020 00:01:00,1.34003000
GBP/USD,12-03-2020 00:01:02,1.34006000
GBP/USD,12-03-2020 00:01:03,1.34007000
GBP/USD,12-03-2020 00:01:03,1.34011000
GBP/USD,12-03-2020 00:01:03,1.34019000
GBP/USD,12-03-2020 00:01:05,1.34016000
GBP/USD,12-03-2020 00:01:05,1.34009000
GBP/USD,12-03-2020 00:01:05,1.34011000
GBP/USD,12-03-2020 00:01:05,1.34015000
GBP/USD,12-03-2020 00:01:05,1.34017000
GBP/USD,12-03-2020 00:01:06,1.34015000
GBP/USD,12-03-2020 00:01:06,1.34011000
GBP/USD,12-03-2020 00:01:07,1.34008000
GBP/USD,12-03-2020 00:01:10,1.34010000
GBP/USD,12-03-2020 00:01:10,1.34012000
GBP/USD,12-03-2020 00:01:12,1.34011000
GBP/USD,12-03-2020 00:01:17,1.34008000
GBP/USD,12-03-2020 00:01:17,1.34007000
GBP/USD,12-03-2020 00:01:17,1.34005000
GBP/USD,12-03-2020 00:01:17,1.33999000
GBP/USD,12-03-2020 00:01:22,1.34001000
GBP/USD,12-03-2020 00:01:23,1.34003000
GBP/USD,12-03-2020 00:01:23,1.34001000
GBP/USD,12-03-2020 00:01:23,1.33998000
GBP/USD,12-03-2020 00:01:24,1.33997000
GBP/USD,12-03-2020 00:01:26,1.33998000
GBP/USD,12-03-2020 00:01:30,1.34001000
GBP/USD,12-03-2020 00:01:31,1.34003000
GBP/USD,12-03-2020 00:01:31,1.34005000
GBP/USD,12-03-2020 00:01:34,1.34009000
GBP/USD,12-03-2020 00:01:34,1.34010000
GBP/USD,12-03-2020 00:01:35,1.34015000
GBP/USD,12-03-2020 00:01:35,1.34018000
GBP/USD,12-03-2020 00:01:36,1.34017000
GBP/USD,12-03-2020 00:01:37,1.34006000
GBP/USD,12-03-2020 00:01:37,1.34004000
GBP/USD,12-03-2020 00:01:37,1.34006000
GBP/USD,12-03-2020 00:01:38,1.34008000
GBP/USD,12-03-2020 00:01:40,1.34012000
GBP/USD,12-03-2020 00:01:40,1.34015000
GBP/USD,12-03-2020 00:01:40,1.34019000
GBP/USD,12-03-2020 00:01:42,1.34022000
GBP/USD,12-03-2020 00:01:42,1.34024000
GBP/USD,12-03-2020 00:01:42,1.34021000
GBP/USD,12-03-2020 00:01:43,1.34024000
GBP/USD,12-03-2020 00:01:44,1.34027000
GBP/USD,12-03-2020 00:01:44,1.34029000
GBP/USD,12-03-2020 00:01:45,1.34030000
GBP/USD,12-03-2020 00:01:46,1.34033000
GBP/USD,12-03-2020 00:01:46,1.34047000
GBP/USD,12-03-2020 00:01:46,1.34045000
GBP/USD,12-03-2020 00:01:46,1.34041000
GBP/USD,12-03-2020 00:01:48,1.34039000
GBP/USD,12-03-2020 00:01:48,1.34035000
GBP/USD,12-03-2020 00:01:48,1.34037000
GBP/USD,12-03-2020 00:01:53,1.34041000
GBP/USD,12-03-2020 00:01:53,1.34042000
GBP/USD,12-03-2020 00:01:54,1.34039000
GBP/USD,12-03-2020 00:01:55,1.34037000
GBP/USD,12-03-2020 00:02:00,1.34039000
GBP/USD,12-03-2020 00:02:02,1.34043000
GBP/USD,12-03-2020 00:02:02,1.34047000
GBP/USD,12-03-2020 00:02:05,1.34043000
GBP/USD,12-03-2020 00:02:06,1.34040000
GBP/USD,12-03-2020 00:02:07,1.34043000
GBP/USD,12-03-2020 00:02:09,1.34044000
GBP/USD,12-03-2020 00:02:13,1.34043000
GBP/USD,12-03-2020 00:02:13,1.34045000
GBP/USD,12-03-2020 00:02:13,1.34047000
GBP/USD,12-03-2020 00:02:22,1.34050000
GBP/USD,12-03-2020 00:02:22,1.34049000
GBP/USD,12-03-2020 00:02:28,1.34045000
GBP/USD,12-03-2020 00:02:34,1.34043000
GBP/USD,12-03-2020 00:02:36,1.34045000
GBP/USD,12-03-2020 00:02:36,1.34046000
GBP/USD,12-03-2020 00:02:40,1.34050000
GBP/USD,12-03-2020 00:02:40,1.34048000
GBP/USD,12-03-2020 00:02:43,1.34050000
GBP/USD,12-03-2020 00:02:43,1.34048000
GBP/USD,12-03-2020 00:02:44,1.34045000
GBP/USD,12-03-2020 00:02:45,1.34049000
GBP/USD,12-03-2020 00:02:45,1.34051000
GBP/USD,12-03-2020 00:02:46,1.34045000
GBP/USD,12-03-2020 00:02:46,1.34046000
GBP/USD,12-03-2020 00:02:48,1.34048000
GBP/USD,12-03-2020 00:02:48,1.34052000
GBP/USD,12-03-2020 00:02:48,1.34050000
GBP/USD,12-03-2020 00:02:50,1.34047000
GBP/USD,12-03-2020 00:02:50,1.34045000
GBP/USD,12-03-2020 00:02:50,1.34048000
GBP/USD,12-03-2020 00:02:52,1.34046000
GBP/USD,12-03-2020 00:02:53,1.34047000
GBP/USD,12-03-2020 00:02:54,1.34045000
GBP/USD,12-03-2020 00:02:56,1.34042000
GBP/USD,12-03-2020 00:02:59,1.34039000
GBP/USD,12-03-2020 00:03:05,1.34037000
GBP/USD,12-03-2020 00:03:06,1.34036000
GBP/USD,12-03-2020 00:03:08,1.34036000
GBP/USD,12-03-2020 00:03:10,1.34036000
GBP/USD,12-03-2020 00:03:10,1.34034000
GBP/USD,12-03-2020 00:03:10,1.34029000
GBP/USD,12-03-2020 00:03:11,1.34031000
GBP/USD,12-03-2020 00:03:15,1.34033000
GBP/USD,12-03-2020 00:03:16,1.34037000
GBP/USD,12-03-2020 00:03:18,1.34039000
GBP/USD,12-03-2020 00:03:20,1.34041000
GBP/USD,12-03-2020 00:03:23,1.34044000
GBP/USD,12-03-2020 00:03:23,1.34046000
GBP/USD,12-03-2020 00:03:24,1.34044000
GBP/USD,12-03-2020 00:03:24,1.34046000
GBP/USD,12-03-2020 00:03:24,1.34043000
GBP/USD,12-03-2020 00:03:26,1.34046000
GBP/USD,12-03-2020 00:03:27,1.34048000
GBP/USD,12-03-2020 00:03:28,1.34045000
GBP/USD,12-03-2020 00:03:28,1.34044000
GBP/USD,12-03-2020 00:03:34,1.34042000
GBP/USD,12-03-2020 00:03:34,1.34040000
GBP/USD,12-03-2020 00:03:34,1.34038000
GBP/USD,12-03-2020 00:03:34,1.34036000
GBP/USD,12-03-2020 00:03:34,1.34036000
GBP/USD,12-03-2020 00:03:39,1.34035000
GBP/USD,12-03-2020 00:03:39,1.34031000
GBP/USD,12-03-2020 00:03:43,1.34034000
GBP/USD,12-03-2020 00:03:43,1.34037000
GBP/USD,12-03-2020 00:03:45,1.34035000
GBP/USD,12-03-2020 00:03:46,1.34032000
GBP/USD,12-03-2020 00:03:51,1.34034000
GBP/USD,12-03-2020 00:03:51,1.34041000
GBP/USD,12-03-2020 00:03:52,1.34044000
GBP/USD,12-03-2020 00:03:52,1.34045000
GBP/USD,12-03-2020 00:03:52,1.34047000
GBP/USD,12-03-2020 00:03:56,1.34045000
GBP/USD,12-03-2020 00:04:12,1.34041000
GBP/USD,12-03-2020 00:04:15,1.34045000
GBP/USD,12-03-2020 00:04:15,1.34056000
GBP/USD,12-03-2020 00:04:16,1.34053000
GBP/USD,12-03-2020 00:04:16,1.34051000
GBP/USD,12-03-2020 00:04:26,1.34049000
GBP/USD,12-03-2020 00:04:26,1.34051000
GBP/USD,12-03-2020 00:04:30,1.34049000
GBP/USD,12-03-2020 00:04:31,1.34051000
GBP/USD,12-03-2020 00:04:33,1.34050000
GBP/USD,12-03-2020 00:04:35,1.34052000
GBP/USD,12-03-2020 00:04:36,1.34054000
GBP/USD,12-03-2020 00:04:37,1.34057000
GBP/USD,12-03-2020 00:04:39,1.34058000
GBP/USD,12-03-2020 00:04:39,1.34065000
GBP/USD,12-03-2020 00:04:39,1.34068000
GBP/USD,12-03-2020 00:04:39,1.34073000
GBP/USD,12-03-2020 00:04:39,1.34074000
GBP/USD,12-03-2020 00:04:39,1.34078000
GBP/USD,12-03-2020 00:04:39,1.34080000
GBP/USD,12-03-2020 00:04:40,1.34077000
GBP/USD,12-03-2020 00:04:40,1.34073000
GBP/USD,12-03-2020 00:04:40,1.34075000
GBP/USD,12-03-2020 00:04:40,1.34078000
GBP/USD,12-03-2020 00:04:40,1.34081000
GBP/USD,12-03-2020 00:04:40,1.34082000
GBP/USD,12-03-2020 00:04:40,1.34079000
GBP/USD,12-03-2020 00:04:43,1.34078000
GBP/USD,12-03-2020 00:04:43,1.34074000
GBP/USD,12-03-2020 00:04:47,1.34075000
GBP/USD,12-03-2020 00:04:48,1.34084000
GBP/USD,12-03-2020 00:04:48,1.34082000
GBP/USD,12-03-2020 00:04:51,1.34084000
GBP/USD,12-03-2020 00:04:56,1.34088000
GBP/USD,12-03-2020 00:04:58,1.34089000
GBP/USD,12-03-2020 00:04:58,1.34092000
GBP/USD,12-03-2020 00:04:58,1.34088000
GBP/USD,12-03-2020 00:04:58,1.34091000
GBP/USD,12-03-2020 00:04:59,1.34094000
GBP/USD,12-03-2020 00:04:59,1.34099000
GBP/USD,12-03-2020 00:05:00,1.34100000
GBP/USD,12-03-2020 00:05:00,1.34098000
GBP/USD,12-03-2020 00:05:00,1.34100000
GBP/USD,12-03-2020 00:05:00,1.34102000
GBP/USD,12-03-2020 00:05:01,1.34100000
GBP/USD,12-03-2020 00:05:02,1.34103000
GBP/USD,12-03-2020 00:05:02,1.34099000
GBP/USD,12-03-2020 00:05:06,1.34102000
GBP/USD,12-03-2020 00:05:06,1.34099000
GBP/USD,12-03-2020 00:05:09,1.34097000
