CurrencyPair,Datestamp,Price
USD/CAD,12-03-2020 00:00:20,1.29281000
USD/CAD,12-03-2020 00:00:21,1.29279000
USD/CAD,12-03-2020 00:00:22,1.29281000
USD/CAD,12-03-2020 00:00:53,1.29279000
USD/CAD,12-03-2020 00:00:53,1.29277000
USD/CAD,12-03-2020 00:00:56,1.29273000
USD/CAD,12-03-2020 00:00:59,1.29270000
USD/CAD,12-03-2020 00:01:02,1.29268000
USD/CAD,12-03-2020 00:01:02,1.29265000
USD/CAD,12-03-2020 00:01:16,1.29263000
USD/CAD,12-03-2020 00:01:17,1.29265000
USD/CAD,12-03-2020 00:01:45,1.29263000
USD/CAD,12-03-2020 00:01:45,1.29261000
USD/CAD,12-03-2020 00:01:45,1.29259000
USD/CAD,12-03-2020 00:01:58,1.29256000
USD/CAD,12-03-2020 00:01:58,1.29253000
USD/CAD,12-03-2020 00:01:59,1.29251000
USD/CAD,12-03-2020 00:02:00,1.29248000
USD/CAD,12-03-2020 00:02:01,1.29247000
USD/CAD,12-03-2020 00:02:02,1.29243000
USD/CAD,12-03-2020 00:02:02,1.29241000
USD/CAD,12-03-2020 00:02:05,1.29238000
USD/CAD,12-03-2020 00:02:06,1.29237000
USD/CAD,12-03-2020 00:02:12,1.29241000
USD/CAD,12-03-2020 00:02:13,1.29243000
USD/CAD,12-03-2020 00:02:13,1.29239000
USD/CAD,12-03-2020 00:02:20,1.29238000
USD/CAD,12-03-2020 00:02:26,1.29240000
USD/CAD,12-03-2020 00:02:26,1.29243000
USD/CAD,12-03-2020 00:02:36,1.29240000
USD/CAD,12-03-2020 00:02:40,1.29239000
USD/CAD,12-03-2020 00:02:48,1.29234000
USD/CAD,12-03-2020 00:02:48,1.29232000
USD/CAD,12-03-2020 00:02:51,1.29235000
USD/CAD,12-03-2020 00:02:52,1.29238000
USD/CAD,12-03-2020 00:03:01,1.29239000
USD/CAD,12-03-2020 00:03:06,1.29243000
USD/CAD,12-03-2020 00:03:06,1.29244000
USD/CAD,12-03-2020 00:03:08,1.29241000
USD/CAD,12-03-2020 00:03:11,1.29245000
USD/CAD,12-03-2020 00:03:11,1.29242000
USD/CAD,12-03-2020 00:03:15,1.29239000
USD/CAD,12-03-2020 00:03:17,1.29237000
USD/CAD,12-03-2020 00:03:21,1.29234000
USD/CAD,12-03-2020 00:03:23,1.29236000
USD/CAD,12-03-2020 00:03:23,1.29234000
USD/CAD,12-03-2020 00:03:23,1.29231000
USD/CAD,12-03-2020 00:03:24,1.29227000
USD/CAD,12-03-2020 00:03:27,1.29225000
USD/CAD,12-03-2020 00:03:34,1.29226000
USD/CAD,12-03-2020 00:03:34,1.29231000
USD/CAD,12-03-2020 00:03:34,1.29231000
USD/CAD,12-03-2020 00:03:39,1.29228000
USD/CAD,12-03-2020 00:03:39,1.29226000
USD/CAD,12-03-2020 00:03:43,1.29224000
USD/CAD,12-03-2020 00:03:43,1.29213000
USD/CAD,12-03-2020 00:03:43,1.29214000
USD/CAD,12-03-2020 00:03:43,1.29210000
USD/CAD,12-03-2020 00:03:43,1.29205000
USD/CAD,12-03-2020 00:03:44,1.29206000
USD/CAD,12-03-2020 00:03:45,1.29204000
USD/CAD,12-03-2020 00:03:46,1.29207000
USD/CAD,12-03-2020 00:03:46,1.29207000
USD/CAD,12-03-2020 00:03:50,1.29208000
USD/CAD,12-03-2020 00:03:50,1.29209000
USD/CAD,12-03-2020 00:03:50,1.29212000
USD/CAD,12-03-2020 00:03:51,1.29210000
USD/CAD,12-03-2020 00:03:51,1.29208000
USD/CAD,12-03-2020 00:03:52,1.29204000
USD/CAD,12-03-2020 00:03:55,1.29205000
USD/CAD,12-03-2020 00:03:55,1.29199000
USD/CAD,12-03-2020 00:04:31,1.29194000
USD/CAD,12-03-2020 00:04:31,1.29188000
USD/CAD,12-03-2020 00:04:31,1.29186000
USD/CAD,12-03-2020 00:04:31,1.29189000
USD/CAD,12-03-2020 00:04:33,1.29188000
USD/CAD,12-03-2020 00:04:35,1.29187000
USD/CAD,12-03-2020 00:04:36,1.29187000
USD/CAD,12-03-2020 00:04:36,1.29183000
USD/CAD,12-03-2020 00:04:36,1.29184000
USD/CAD,12-03-2020 00:04:37,1.29182000
USD/CAD,12-03-2020 00:04:37,1.29186000
USD/CAD,12-03-2020 00:04:37,1.29189000
USD/CAD,12-03-2020 00:04:37,1.29186000
USD/CAD,12-03-2020 00:04:39,1.29183000
USD/CAD,12-03-2020 00:04:39,1.29181000
USD/CAD,12-03-2020 00:04:39,1.29178000
USD/CAD,12-03-2020 00:04:41,1.29176000
USD/CAD,12-03-2020 00:04:42,1.29180000
USD/CAD,12-03-2020 00:04:43,1.29180000
USD/CAD,12-03-2020 00:04:43,1.29182000
USD/CAD,12-03-2020 00:04:47,1.29180000
USD/CAD,12-03-2020 00:04:56,1.29178000
USD/CAD,12-03-2020 00:04:56,1.29176000
USD/CAD,12-03-2020 00:04:56,1.29172000
USD/CAD,12-03-2020 00:04:57,1.29169000
USD/CAD,12-03-2020 00:04:58,1.29167000
USD/CAD,12-03-2020 00:04:58,1.29165000
USD/CAD,12-03-2020 00:05:11,1.29162000
USD/CAD,12-03-2020 00:05:11,1.29158000
USD/CAD,12-03-2020 00:05:14,1.29154000
USD/CAD,12-03-2020 00:05:25,1.29157000
USD/CAD,12-03-2020 00:05:25,1.29162000
USD/CAD,12-03-2020 00:05:33,1.29165000
USD/CAD,12-03-2020 00:05:39,1.29162000
USD/CAD,12-03-2020 00:05:39,1.29158000
USD/CAD,12-03-2020 00:05:46,1.29155000
USD/CAD,12-03-2020 00:05:47,1.29153000
USD/CAD,12-03-2020 00:05:47,1.29150000
USD/CAD,12-03-2020 00:05:48,1.29151000
USD/CAD,12-03-2020 00:05:48,1.29153000
USD/CAD,12-03-2020 00:05:55,1.29156000
USD/CAD,12-03-2020 00:05:56,1.29158000
USD/CAD,12-03-2020 00:05:56,1.29155000
USD/CAD,12-03-2020 00:05:58,1.29157000
USD/CAD,12-03-2020 00:06:00,1.29160000
USD/CAD,12-03-2020 00:06:05,1.29163000
USD/CAD,12-03-2020 00:06:19,1.29162000
USD/CAD,12-03-2020 00:06:20,1.29159000
USD/CAD,12-03-2020 00:06:26,1.29162000
USD/CAD,12-03-2020 00:06:26,1.29164000
USD/CAD,12-03-2020 00:06:30,1.29166000
USD/CAD,12-03-2020 00:06:30,1.29168000
USD/CAD,12-03-2020 00:06:33,1.29166000
USD/CAD,12-03-2020 00:06:40,1.29163000
USD/CAD,12-03-2020 00:06:41,1.29164000
USD/CAD,12-03-2020 00:06:57,1.29165000
USD/CAD,12-03-2020 00:07:01,1.29166000
USD/CAD,12-03-2020 00:07:01,1.29169000
USD/CAD,12-03-2020 00:07:02,1.29171000
USD/CAD,12-03-2020 00:07:08,1.29173000
USD/CAD,12-03-2020 00:07:29,1.29175000
USD/CAD,12-03-2020 00:07:48,1.29179000
USD/CAD,12-03-2020 00:07:48,1.29180000
USD/CAD,12-03-2020 00:08:00,1.29178000
USD/CAD,12-03-2020 00:08:05,1.29175000
USD/CAD,12-03-2020 00:08:06,1.29172000
USD/CAD,12-03-2020 00:08:10,1.29175000
USD/CAD,12-03-2020 00:08:12,1.29173000
USD/CAD,12-03-2020 00:08:13,1.29175000
USD/CAD,12-03-2020 00:08:14,1.29178000
USD/CAD,12-03-2020 00:08:14,1.29180000
USD/CAD,12-03-2020 00:08:40,1.29177000
USD/CAD,12-03-2020 00:08:41,1.29175000
USD/CAD,12-03-2020 00:08:43,1.29173000
USD/CAD,12-03-2020 00:08:43,1.29175000
USD/CAD,12-03-2020 00:08:56,1.29172000
USD/CAD,12-03-2020 00:09:05,1.29175000
USD/CAD,12-03-2020 00:09:16,1.29172000
USD/CAD,12-03-2020 00:09:24,1.29175000
USD/CAD,12-03-2020 00:09:31,1.29171000
USD/CAD,12-03-2020 00:09:39,1.29170000
USD/CAD,12-03-2020 00:09:39,1.29167000
USD/CAD,12-03-2020 00:09:40,1.29164000
USD/CAD,12-03-2020 00:09:51,1.29167000
USD/CAD,12-03-2020 00:09:53,1.29169000
USD/CAD,12-03-2020 00:09:54,1.29171000
USD/CAD,12-03-2020 00:10:06,1.29170000
USD/CAD,12-03-2020 00:10:09,1.29171000
USD/CAD,12-03-2020 00:10:16,1.29169000
USD/CAD,12-03-2020 00:10:23,1.29165000
USD/CAD,12-03-2020 00:10:27,1.29169000
USD/CAD,12-03-2020 00:10:37,1.29171000
USD/CAD,12-03-2020 00:10:40,1.29169000
USD/CAD,12-03-2020 00:10:40,1.29167000
USD/CAD,12-03-2020 00:10:43,1.29164000
USD/CAD,12-03-2020 00:10:47,1.29167000
USD/CAD,12-03-2020 00:10:51,1.29169000
USD/CAD,12-03-2020 00:11:07,1.29173000
USD/CAD,12-03-2020 00:11:07,1.29170000
USD/CAD,12-03-2020 00:11:07,1.29169000
USD/CAD,12-03-2020 00:11:08,1.29166000
USD/CAD,12-03-2020 00:11:09,1.29168000
USD/CAD,12-03-2020 00:11:14,1.29166000
USD/CAD,12-03-2020 00:11:22,1.29168000
USD/CAD,12-03-2020 00:11:22,1.29171000
USD/CAD,12-03-2020 00:11:28,1.29173000
USD/CAD,12-03-2020 00:11:33,1.29175000
USD/CAD,12-03-2020 00:11:45,1.29177000
USD/CAD,12-03-2020 00:11:46,1.29175000
USD/CAD,12-03-2020 00:11:48,1.29173000
USD/CAD,12-03-2020 00:11:51,1.29175000
USD/CAD,12-03-2020 00:11:57,1.29177000
USD/CAD,12-03-2020 00:12:01,1.29175000
USD/CAD,12-03-2020 00:12:02,1.29177000
USD/CAD,12-03-2020 00:12:16,1.29175000
USD/CAD,12-03-2020 00:12:18,1.29178000
USD/CAD,12-03-2020 00:12:27,1.29181000
USD/CAD,12-03-2020 00:12:35,1.29182000
USD/CAD,12-03-2020 00:12:35,1.29184000
USD/CAD,12-03-2020 00:12:36,1.29186000
USD/CAD,12-03-2020 00:12:58,1.29189000
USD/CAD,12-03-2020 00:13:00,1.29188000
USD/CAD,12-03-2020 00:13:01,1.29189000
USD/CAD,12-03-2020 00:13:18,1.29187000
USD/CAD,12-03-2020 00:13:27,1.29184000
USD/CAD,12-03-2020 00:13:32,1.29182000
USD/CAD,12-03-2020 00:13:35,1.29180000
USD/CAD,12-03-2020 00:13:35,1.29178000
USD/CAD,12-03-2020 00:13:42,1.29180000
USD/CAD,12-03-2020 00:13:51,1.29183000
USD/CAD,12-03-2020 00:13:51,1.29184000
USD/CAD,12-03-2020 00:14:02,1.29183000
USD/CAD,12-03-2020 00:14:02,1.29179000
USD/CAD,12-03-2020 00:14:08,1.29182000
