CurrencyPair,Datestamp,Price
USD/CHF,12-03-2020 00:00:01,0.89393000
USD/CHF,12-03-2020 00:00:21,0.89390000
USD/CHF,12-03-2020 00:00:27,0.89386000
USD/CHF,12-03-2020 00:00:33,0.89382000
USD/CHF,12-03-2020 00:00:53,0.89380000
USD/CHF,12-03-2020 00:00:59,0.89375000
USD/CHF,12-03-2020 00:01:04,0.89372000
USD/CHF,12-03-2020 00:01:10,0.89375000
USD/CHF,12-03-2020 00:01:17,0.89380000
USD/CHF,12-03-2020 00:01:23,0.89376000
USD/CHF,12-03-2020 00:01:34,0.89373000
USD/CHF,12-03-2020 00:02:17,0.89369000
USD/CHF,12-03-2020 00:02:18,0.89367000
USD/CHF,12-03-2020 00:02:48,0.89364000
USD/CHF,12-03-2020 00:02:48,0.89360000
USD/CHF,12-03-2020 00:02:54,0.89363000
USD/CHF,12-03-2020 00:03:01,0.89367000
USD/CHF,12-03-2020 00:03:05,0.89370000
USD/CHF,12-03-2020 00:03:23,0.89369000
USD/CHF,12-03-2020 00:03:23,0.89364000
USD/CHF,12-03-2020 00:03:25,0.89360000
USD/CHF,12-03-2020 00:03:27,0.89364000
USD/CHF,12-03-2020 00:03:27,0.89359000
USD/CHF,12-03-2020 00:03:29,0.89360000
USD/CHF,12-03-2020 00:03:29,0.89354000
USD/CHF,12-03-2020 00:03:33,0.89352000
USD/CHF,12-03-2020 00:03:34,0.89353000
USD/CHF,12-03-2020 00:03:34,0.89359000
USD/CHF,12-03-2020 00:03:34,0.89362000
USD/CHF,12-03-2020 00:03:36,0.89364000
USD/CHF,12-03-2020 00:03:45,0.89369000
USD/CHF,12-03-2020 00:03:46,0.89371000
USD/CHF,12-03-2020 00:03:46,0.89375000
USD/CHF,12-03-2020 00:03:48,0.89380000
USD/CHF,12-03-2020 00:03:50,0.89383000
USD/CHF,12-03-2020 00:03:51,0.89380000
USD/CHF,12-03-2020 00:03:51,0.89376000
USD/CHF,12-03-2020 00:03:52,0.89371000
USD/CHF,12-03-2020 00:03:54,0.89374000
USD/CHF,12-03-2020 00:04:37,0.89371000
USD/CHF,12-03-2020 00:04:39,0.89368000
USD/CHF,12-03-2020 00:04:42,0.89363000
USD/CHF,12-03-2020 00:04:48,0.89360000
USD/CHF,12-03-2020 00:04:57,0.89357000
USD/CHF,12-03-2020 00:04:58,0.89353000
USD/CHF,12-03-2020 00:04:59,0.89350000
USD/CHF,12-03-2020 00:05:25,0.89346000
USD/CHF,12-03-2020 00:05:32,0.89353000
USD/CHF,12-03-2020 00:05:56,0.89354000
USD/CHF,12-03-2020 00:05:58,0.89357000
USD/CHF,12-03-2020 00:05:58,0.89358000
USD/CHF,12-03-2020 00:05:58,0.89362000
USD/CHF,12-03-2020 00:06:00,0.89366000
USD/CHF,12-03-2020 00:06:19,0.89363000
USD/CHF,12-03-2020 00:06:26,0.89358000
USD/CHF,12-03-2020 00:06:29,0.89364000
USD/CHF,12-03-2020 00:06:50,0.89358000
USD/CHF,12-03-2020 00:06:52,0.89355000
USD/CHF,12-03-2020 00:07:02,0.89359000
USD/CHF,12-03-2020 00:07:05,0.89363000
USD/CHF,12-03-2020 00:07:27,0.89366000
USD/CHF,12-03-2020 00:07:49,0.89370000
USD/CHF,12-03-2020 00:07:50,0.89367000
USD/CHF,12-03-2020 00:07:57,0.89364000
USD/CHF,12-03-2020 00:08:00,0.89360000
USD/CHF,12-03-2020 00:08:12,0.89363000
USD/CHF,12-03-2020 00:08:13,0.89367000
USD/CHF,12-03-2020 00:08:19,0.89370000
USD/CHF,12-03-2020 00:08:19,0.89367000
USD/CHF,12-03-2020 00:08:52,0.89371000
USD/CHF,12-03-2020 00:09:22,0.89366000
USD/CHF,12-03-2020 00:09:31,0.89370000
USD/CHF,12-03-2020 00:10:06,0.89368000
USD/CHF,12-03-2020 00:10:12,0.89370000
USD/CHF,12-03-2020 00:10:18,0.89373000
USD/CHF,12-03-2020 00:10:33,0.89372000
USD/CHF,12-03-2020 00:10:40,0.89367000
USD/CHF,12-03-2020 00:10:44,0.89363000
USD/CHF,12-03-2020 00:11:08,0.89365000
USD/CHF,12-03-2020 00:11:22,0.89370000
USD/CHF,12-03-2020 00:11:41,0.89372000
USD/CHF,12-03-2020 00:11:48,0.89370000
USD/CHF,12-03-2020 00:11:51,0.89373000
USD/CHF,12-03-2020 00:11:56,0.89372000
USD/CHF,12-03-2020 00:12:08,0.89374000
USD/CHF,12-03-2020 00:12:09,0.89371000
USD/CHF,12-03-2020 00:12:13,0.89367000
USD/CHF,12-03-2020 00:12:16,0.89361000
USD/CHF,12-03-2020 00:12:22,0.89363000
USD/CHF,12-03-2020 00:12:27,0.89364000
USD/CHF,12-03-2020 00:12:29,0.89358000
USD/CHF,12-03-2020 00:12:33,0.89356000
USD/CHF,12-03-2020 00:12:33,0.89360000
USD/CHF,12-03-2020 00:12:33,0.89365000
USD/CHF,12-03-2020 00:12:50,0.89361000
USD/CHF,12-03-2020 00:13:01,0.89365000
USD/CHF,12-03-2020 00:13:07,0.89362000
USD/CHF,12-03-2020 00:13:25,0.89357000
USD/CHF,12-03-2020 00:13:32,0.89354000
USD/CHF,12-03-2020 00:13:35,0.89350000
USD/CHF,12-03-2020 00:13:39,0.89346000
USD/CHF,12-03-2020 00:13:39,0.89350000
USD/CHF,12-03-2020 00:13:44,0.89352000
USD/CHF,12-03-2020 00:14:00,0.89348000
USD/CHF,12-03-2020 00:14:06,0.89348000
USD/CHF,12-03-2020 00:14:06,0.89343000
USD/CHF,12-03-2020 00:14:08,0.89349000
USD/CHF,12-03-2020 00:14:23,0.89351000
USD/CHF,12-03-2020 00:14:33,0.89347000
USD/CHF,12-03-2020 00:14:33,0.89349000
USD/CHF,12-03-2020 00:14:38,0.89354000
USD/CHF,12-03-2020 00:14:43,0.89350000
USD/CHF,12-03-2020 00:15:23,0.89354000
USD/CHF,12-03-2020 00:15:31,0.89350000
USD/CHF,12-03-2020 00:15:34,0.89352000
USD/CHF,12-03-2020 00:15:37,0.89357000
USD/CHF,12-03-2020 00:15:38,0.89352000
USD/CHF,12-03-2020 00:15:47,0.89357000
USD/CHF,12-03-2020 00:15:51,0.89352000
USD/CHF,12-03-2020 00:15:57,0.89357000
USD/CHF,12-03-2020 00:16:14,0.89353000
USD/CHF,12-03-2020 00:16:20,0.89350000
USD/CHF,12-03-2020 00:16:21,0.89347000
USD/CHF,12-03-2020 00:16:22,0.89349000
