CurrencyPair,Datestamp,Price
USD/JPY,12-03-2020 00:00:02,104.45500000
USD/JPY,12-03-2020 00:00:02,104.45400000
USD/JPY,12-03-2020 00:00:03,104.45500000
USD/JPY,12-03-2020 00:00:04,104.45400000
USD/JPY,12-03-2020 00:00:06,104.45200000
USD/JPY,12-03-2020 00:00:07,104.45100000
USD/JPY,12-03-2020 00:00:11,104.44900000
USD/JPY,12-03-2020 00:00:12,104.45000000
USD/JPY,12-03-2020 00:00:12,104.44900000
USD/JPY,12-03-2020 00:00:16,104.45000000
USD/JPY,12-03-2020 00:00:16,104.44900000
USD/JPY,12-03-2020 00:00:20,104.45000000
USD/JPY,12-03-2020 00:00:20,104.44700000
USD/JPY,12-03-2020 00:00:20,104.44300000
USD/JPY,12-03-2020 00:00:21,104.44100000
USD/JPY,12-03-2020 00:00:21,104.44000000
USD/JPY,12-03-2020 00:00:21,104.43800000
USD/JPY,12-03-2020 00:00:22,104.43700000
USD/JPY,12-03-2020 00:00:22,104.43800000
USD/JPY,12-03-2020 00:00:22,104.43700000
USD/JPY,12-03-2020 00:00:23,104.43800000
USD/JPY,12-03-2020 00:00:28,104.43700000
USD/JPY,12-03-2020 00:00:28,104.43600000
USD/JPY,12-03-2020 00:00:30,104.43700000
USD/JPY,12-03-2020 00:00:31,104.43600000
USD/JPY,12-03-2020 00:00:31,104.43600000
USD/JPY,12-03-2020 00:00:31,104.43500000
USD/JPY,12-03-2020 00:00:39,104.43500000
USD/JPY,12-03-2020 00:00:39,104.43500000
USD/JPY,12-03-2020 00:00:40,104.43500000
USD/JPY,12-03-2020 00:00:40,104.43500000
USD/JPY,12-03-2020 00:00:40,104.43500000
USD/JPY,12-03-2020 00:00:41,104.43500000
USD/JPY,12-03-2020 00:00:41,104.43600000
USD/JPY,12-03-2020 00:00:41,104.43500000
USD/JPY,12-03-2020 00:00:41,104.43600000
USD/JPY,12-03-2020 00:00:42,104.43500000
USD/JPY,12-03-2020 00:00:42,104.43600000
USD/JPY,12-03-2020 00:00:43,104.43500000
USD/JPY,12-03-2020 00:00:43,104.43600000
USD/JPY,12-03-2020 00:00:43,104.43500000
USD/JPY,12-03-2020 00:00:53,104.43300000
USD/JPY,12-03-2020 00:00:53,104.43200000
USD/JPY,12-03-2020 00:00:54,104.43300000
USD/JPY,12-03-2020 00:00:54,104.43200000
USD/JPY,12-03-2020 00:00:54,104.43100000
USD/JPY,12-03-2020 00:00:59,104.42900000
USD/JPY,12-03-2020 00:00:59,104.42700000
USD/JPY,12-03-2020 00:00:59,104.42600000
USD/JPY,12-03-2020 00:00:59,104.42400000
USD/JPY,12-03-2020 00:01:00,104.42200000
USD/JPY,12-03-2020 00:01:01,104.42300000
USD/JPY,12-03-2020 00:01:02,104.42200000
